"sample_name","sample_id","cell_line","condition"
"Sample_CEN.fcs","Sample_CEN","CEN",NA
"Sample_SUM159_1_H1.fcs","Sample_SUM159_1_H1","SUM159","H1"
"Sample_SUM159_10_A1.fcs","Sample_SUM159_10_A1","SUM159","A1"
"Sample_SUM159_11_A1.fcs","Sample_SUM159_11_A1","SUM159","A1"
"Sample_SUM159_12_A1.fcs","Sample_SUM159_12_A1","SUM159","A1"
"Sample_SUM159_13_AOA.fcs","Sample_SUM159_13_AOA","SUM159","AOA"
"Sample_SUM159_14_AOA.fcs","Sample_SUM159_14_AOA","SUM159","AOA"
"Sample_SUM159_15_AOA.fcs","Sample_SUM159_15_AOA","SUM159","AOA"
"Sample_SUM159_16_AN.fcs","Sample_SUM159_16_AN","SUM159","AN"
"Sample_SUM159_17_AN.fcs","Sample_SUM159_17_AN","SUM159","AN"
"Sample_SUM159_18_AN.fcs","Sample_SUM159_18_AN","SUM159","AN"
"Sample_SUM159_19_N1.fcs","Sample_SUM159_19_N1","SUM159","N1"
"Sample_SUM159_2_H1.fcs","Sample_SUM159_2_H1","SUM159","H1"
"Sample_SUM159_20_N1.fcs","Sample_SUM159_20_N1","SUM159","N1"
"Sample_SUM159_21_N1.fcs","Sample_SUM159_21_N1","SUM159","N1"
"Sample_SUM159_2N_Control.fcs","Sample_SUM159_2N_Control","SUM159","2N_Control"
"Sample_SUM159_3_H1.fcs","Sample_SUM159_3_H1","SUM159","H1"
"Sample_SUM159_4_HOH.fcs","Sample_SUM159_4_HOH","SUM159","HOH"
"Sample_SUM159_4N_Control.fcs","Sample_SUM159_4N_Control","SUM159","4N_Control"
"Sample_SUM159_5_HOH.fcs","Sample_SUM159_5_HOH","SUM159","HOH"
"Sample_SUM159_6_HOH.fcs","Sample_SUM159_6_HOH","SUM159","HOH"
"Sample_SUM159_7_HN.fcs","Sample_SUM159_7_HN","SUM159","HN"
"Sample_SUM159_8_HN.fcs","Sample_SUM159_8_HN","SUM159","HN"
"Sample_SUM159_9_HN.fcs","Sample_SUM159_9_HN","SUM159","HN"
